title,artist,albumTitle,bpm,key,comment,year,location
Long Line of Cars,Cake,Comfort Eagle,99.995125,3M,"Alternative Rock; Spoken Word Rock; deadpan vocals, funky bass groove, mariachi trumpet accents, dry production; ironic slacker anthem with California swagger; Sacramento CA, mid-1990s.",1996,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Long Line of Cars.mp3
Los Tambores Te Llaman - Casamena Remix,"Osunlade,Carlos Mena",Los Tambores Te Llaman,119.999641,1M,"Afro House; Tribal House; hypnotic percussion layers, spiritual vocal chants, deep rolling bassline, organic drum ceremonies; sunset ritual energy for conscious dancefloors; Global/Latin-influenced, 2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Los Tambores Te Llaman - Casamena Remix.mp3
Love Letters - Soulwax Remix,"Metronomy,Soulwax",Love Letters (Soulwax Remix),119.999283,8M,"Indie Dance; Nu-Disco; pulsating bassline, chopped vocals, euphoric synth stabs; packed festival tent energy with Belgian flair; Belgium/UK collaboration, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Love Letters - Soulwax Remix.mp3
Low Rider,War,Why Can't We Be Friends?,140.607941,11M,"Funk; Latin Funk; iconic bass line, sparse percussion, laid-back groove, whistle hook; cruising West Coast lowrider culture; California, mid-70s.",1975,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Low Rider.mp3
Luv Dancin - Original Mix,"Green Velvet,Prok & Fitch",Luv Dancin,124.000031,2D,"Tech House; Jackin' House; punchy kicks, hypnotic vocal loops, rolling bassline, peak-time energy; sweaty warehouse euphoria meets festival main stage; Chicago/UK connection, 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Luv Dancin - Original Mix.mp3
Lying Low,Metronomy,Metronomy Forever,122.109566,10M,"Indie Electronic; Synthwave; shimmering arpeggios, crisp drum machines, melancholic vocals over pulsing basslines; dreamy after-hours introspection meets coastal European cool; UK, early 2010s.",2011,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Lying Low.mp3
Lyrical Soldier,"DJ Vadim,Demolition Man",Dubcatcher,94.499802,9M,"Trip-Hop; Downtempo Hip-Hop; gritty breakbeats, heavy bassline, cinematic strings, conscious vocal flow; underground UK sound system culture; UK, late 90s.",1998,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Lyrical Soldier.mp3
M'PasiI Ya M'Pamba,Zazou Bikaye,Noir Et Blanc,91.966965,3M,"Experimental African Fusion; Avant-Garde Electro-Tribal; hypnotic Congolese vocals over sparse electronic textures, ritualistic polyrhythms, industrial undertones; cerebral European art scene meets Central African tradition; Belgium/Congo collaboration, late 1980s.",1983,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/M'PasiI Ya M'Pamba.mp3
Mais Que Nada,Sergio Mendes & Brasil '66,Mas Que Nada,89.167862,9M,"Bossa Nova; Samba-Jazz; infectious scat vocals, bright horn arrangements, swinging percussion grooves; sun-drenched Brazilian celebration meeting sophisticated lounge; Los Angeles via Rio, 1966.",1966,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mais Que Nada.mp3
Make A Cake,Claude VonStroke,Barrump,124.000107,10M,"Tech House; Minimal Tech House; quirky vocal samples, chunky bassline, stripped-back groove, playful percussion; peak-time festival energy with cheeky party vibes; USA, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Make A Cake.mp3
Make It Up,Tirzah,Make It Up,104.999969,8D,"Experimental R&B; Deconstructed Pop; lo-fi textures, sparse percussion, intimate vocals, minimalist production; hazy bedroom introspection meets UK underground innovation; London, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Make It Up.mp3
Mama Calling - Tedd Patterson Remix,"Kiko Navarro,Buika,Tedd Patterson",Ocho (Remixed by Kiko Navarro),127.000526,12M,"Afro House; Deep House; hypnotic percussion, soulful Spanish vocals, warm bassline, organic instrumentation; sun-drenched Mediterranean club vibes; Spain/US collaboration, 2010s.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mama Calling - Tedd Patterson Remix.mp3
Mama Roux - Remastered,Dr. John,Best of The Night Tripper (Remastered),64.016563,1D,"Psychedelic Funk; New Orleans Voodoo Funk; swampy guitar grooves, primal percussion, mystical atmosphere, slow-burning groove; Big Easy witch doctor rituals meet late-night bayou mysticism; Louisiana, early 1970s.",1972,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mama Roux - Remastered.mp3
Mambo Con Puente,Tito Puente,Mambolero (Remastered),96.737198,9M,"Latin Jazz; Mambo; explosive brass sections, thunderous timbales, syncopated piano montunos; sweat-drenched New York Palladium dance floor energy; NYC, 1950s golden era mambo movement.",1956,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mambo Con Puente.mp3
Man Smart (Woman Smarter),Harry Belafonte,Calypso,70.80748,3M,"Calypso; Caribbean Folk-Pop; warm acoustic guitar, playful call-and-response vocals, lilting Caribbean rhythms; witty battle-of-the-sexes tropical storytelling; Jamaica/Trinidad influence, American folk revival era.",1956,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Man Smart (Woman Smarter).mp3
"Many Gods, Many Angels",Lee Gamble,"Many Gods, Many Angels",120.001968,3M,"Electronic; Deconstructed Club; fractured beats, eerie atmospherics, glitchy textures, unsettling sound design; cerebral afterhours experimentation; UK, 2010s.",2016,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Many Gods, Many Angels.mp3"
Marche nocturne - Pacific State Remix,"Corine,Pacific State",Fille de ta région remixée,118.499886,12M,"House; Deep House; warm analog bassline, hypnotic arpeggios, ethereal pads, shuffling percussion; dreamy after-hours atmosphere with Balearic sensibility; France/UK remix collaboration, 2010s.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Marche nocturne - Pacific State Remix.mp3
Marsh Lantern,Logos,Imperial Flood,96.152122,4M,"Grime; Experimental Bass; eerie synth textures, sparse percussion, haunting melodic layers, spectral sound design; shadowy UK underground atmosphere; London, mid-2010s.",2014,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Marsh Lantern.mp3
Mashed Potatoes,Rufus Thomas,Walking The Dog,122.634766,11M,"Soul; R&B Dance; raw Memphis horns, shuffling groove, call-and-response vocals, infectious dancefloor energy; Stax Records golden era swagger; Memphis, early 1960s.",1962,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mashed Potatoes.mp3
"Me, You, Us","Day or Night,Seth Troxler","Me, You, Us",125.000313,3M,"Tech House; Minimal Tech House; hypnotic rolling bassline, crisp percussion, stripped-back grooves, subtle vocal chops; intimate after-hours warehouse energy; Detroit-influenced, early 2010s.",2013,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Me, You, Us.mp3"
Melt!,Kelly Lee Owens,Melt!,131.000076,5M,"Techno; Hypnotic Minimal; pulsing bass, crystalline synth stabs, stripped-back percussion, ethereal atmospherics; intense warehouse floor tension; UK/Wales, contemporary underground.",2020,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Melt!.mp3
Mexicali - Simple Symmetry Remix,"Polo & Pan,Simple Symmetry",Mexicali (Remixes),120.999893,10M,"Electronic; French Touch / Downtempo; shimmering synths, groovy bassline, playful percussion, dreamy atmospheric layers; sun-soaked poolside sophistication meets Parisian electronic elegance; France, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mexicali - Simple Symmetry Remix.mp3
Michaelangelos,Ataxia,The Oblivion EP,130.0,7D,"Post-Hardcore; Experimental Rock; raw angular guitars, fractured rhythms, jazz-inflected bass, lo-fi aesthetic; introspective alt-rock experimentation; California, mid-2000s.",2004,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Michaelangelos.mp3
Midnight Dipper - Soulwax Remix,"Warmduscher,Soulwax",Midnight Dipper (Soulwax Remix),106.000023,10M,"Electro-Punk; Indie Dance; gritty bassline throbs, distorted vocals, hypnotic synth stabs, raw garage energy; sweaty basement club chaos meets Belgian rave nostalgia; Belgium/UK, 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Midnight Dipper - Soulwax Remix.mp3
Mido,Yak,Mido / Darunia,126.000565,9M,"Tech House; Minimal Tech House; hypnotic percussion loops, stripped-back grooves, rolling bassline, crispy hi-hats; underground warehouse afterhours energy; Europe, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mido.mp3
Mistadobalina,Del The Funky Homosapien,The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook,99.588608,12M,"Hip-Hop; Alternative/Jazz Rap; quirky vocal samples, funky bassline, playful piano loops, laid-back boom-bap drums; witty West Coast underground with jazzy soul flavor; Oakland, early 90s.",1991,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mistadobalina.mp3
Mistero,Andrea Laszlo De Simone,Mistero,95.007118,1M,"Art Pop; Baroque Pop; haunting orchestral strings, melancholic piano melodies, cinematic Italian vocals, lush atmospheric production; moody European art-house film soundtrack vibes; Italy, late 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mistero.mp3
Miura,Metro Area,Metro Area (15th Anniversary Edition),123.000824,12M,"House; Deep House; warm analog bassline, shimmering Rhodes keys, dubbed-out percussion, organic groove; sophisticated Brooklyn underground dancefloor mystique; New York, early 2000s.",2002,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Miura.mp3
Monkey Jump,Jr. Walker & The All Stars,Shotgun,117.623665,11M,"Northern Soul; R&B/Funk; punchy brass section, infectious groove, energetic call-and-response vocals, raw Motown energy; sweaty dancefloor stomper for all-nighters; Detroit/USA, late 1960s.",1969,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Monkey Jump.mp3
Mori Baka,Peter Power,Afro Damba,104.999367,12M,"Afrobeat; Afro House; hypnotic percussion, rolling bassline, organic drums, atmospheric vocal chants; sun-drenched festival warmth with spiritual tribal energy; West African influence, 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mori Baka.mp3
Mr. Sandman - 1954 #1 Billboard chart hit,The Chordettes,"They're Riding High, Says Archie",55.315361,4D,"Doo-wop; Vocal Jazz; pristine four-part female harmonies, finger-snapping rhythm, vintage close-mic vocal blend; nostalgic Americana innocence; USA, mid-1950s golden era barbershop perfection.",1954,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mr. Sandman - 1954 #1 Billboard chart hit.mp3
Muanapoto,Tshegue,Muanapoto,131.998703,7M,"Afro-Electronic; Tribal House; pulsating percussion, hypnotic chants, raw analog bass, primal energy; sweat-drenched warehouse ritual meets Congolese diaspora fever; Paris/Kinshasa fusion, 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Muanapoto.mp3
Mulato Bamba,"Leal Brito,Odete,Sandoval Dias,Ze Menezes",The Music of Brazil: The Piano of Leal Brito - Recordings 1953 - 1957,85.615234,12D,"Afro-Brazilian; Batucada/Samba; polyrhythmic percussion layers, call-and-response vocals, organic hand drums, earthy acoustic textures; vibrant carnival energy meets traditional folkloric celebration; Brazil, likely 1970s-80s.",1978,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mulato Bamba.mp3
Mulita,Leikeli47,Mulita,108.829964,2M,"Hip-Hop; Experimental Trap; sparse 808s, aggressive vocal delivery, minimalist production, hard-hitting percussion; raw underground NYC energy with avant-garde swagger; New York, late 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Mulita.mp3
Murder Weapons - Original Mix,Eyes Everywhere,Toolroom Miami 2018,124.999962,3M,"Techno; Dark Techno; relentless industrial percussion, menacing synth stabs, aggressive bass weight; dystopian warehouse energy with raw underground intensity; European influenced, 2010s.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Murder Weapons - Original Mix.mp3
My House,"Hercules & Love Affair,Shaun J. Wright",Blue Songs,119.987679,4M,"House; Soulful House; warm analog basslines, disco-infused strings, gospel-tinged vocals, lush orchestration; intimate Brooklyn warehouse energy meets classic Paradise Garage spirit; NYC, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/My House.mp3
Nada Nada - Simple Symmetry 'What Happens After Death' Remix,"Aristidez,Simple Symmetry",Evasivas Esotericas,118.000328,11M,"Melodic House; Progressive House; ethereal pads, hypnotic arpeggios, deep bassline, introspective breakdown; contemplative afterhours journey through cosmic soundscapes; International, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Nada Nada - Simple Symmetry 'What Happens After Death' Remix.mp3
New York Is Killing Me,Gil Scott-Heron,I’m New Here,102.984497,11M,"Jazz-Spoken Word; Neo-Soul; melancholic piano Rhodes, subtle strings, weary vocal delivery, organic percussion; reflective urban poetry capturing city exhaustion; USA, early 2010s.",2010,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/New York Is Killing Me.mp3
Night,Kelly Lee Owens,Night,126.999893,11M,"Techno; Hypnotic Minimal; pulsing bassline, ethereal atmospherics, stripped-back percussion, immersive spatial design; introspective warehouse afterhours, contemporary UK electronic experimentation; Wales, late 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Night.mp3
Nobody Speak,"DJ Shadow,Run The Jewels",The Mountain Will Fall,80.000908,1M,"Hip-Hop; Boom Bap/Experimental; thunderous breakbeats, menacing brass stabs, explosive vocal sparring between Killer Mike and El-P; cinematic heist energy meets underground rebellion; US, mid-2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Nobody Speak.mp3
Oba,Ohxala,Dona Cuica,94.999893,11M,"Afro House; Organic House; hypnotic percussion, warm bassline, ethereal vocal chants, layered tribal rhythms; sun-drenched beachfront ritual energy; Global/Electronic, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Oba.mp3
Obstacle - Marvin & Guy Disco Mix,"WhoMadeWho,Marvin & Guy",Obstacle,120.000046,1M,"Indie Dance; Nu-Disco; shimmering arpeggios, punchy bass grooves, euphoric builds with organic percussion layers; sun-drenched festival euphoria meets sophisticated underground club energy; Copenhagen/European, late 2000s.",2009,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Obstacle - Marvin & Guy Disco Mix.mp3
Ofterschwang,Jürgen Paape,Kompilation,121.000114,3M,"Minimal Techno; Microhouse; crisp clicks, warm bass pulses, hypnotic loops, stripped-back elegance; sophisticated afterhours atmosphere; Germany, early 2000s Kompakt label aesthetic.",2001,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Ofterschwang.mp3
Oh Mama,Run The Jewels,Run The Jewels 3,76.004601,12M,"Hip-Hop; Hardcore/Experimental; menacing bass, distorted synths, aggressive vocal delivery, gritty percussion; dark underground rebellion energy; USA, mid-2010s.",2020,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Oh Mama.mp3
Oh My Darling Don't Cry,Run The Jewels,Run The Jewels 2,75.003517,12D,"Hip-Hop; Experimental/Alternative Rap; heavy bass, menacing synths, aggressive flows, dystopian production; dark political commentary with cinematic intensity; US, likely mid-2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Oh My Darling Don't Cry.mp3
Okay - Original Mix,Shiba San,dirtybird BBQ,123.0,12M,"House; Tech House; groovy bassline, minimal percussion, infectious vocal chops, stripped-back production; peak-time underground club energy; Chicago-influenced, mid-2010s.",2014,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Okay - Original Mix.mp3
On Air,Marc Spence,HOWSLA,126.000214,12M,"Progressive House; Melodic Techno; warm analog bassline, ethereal pads, hypnotic arpeggios, crisp percussion; dreamy peak-time journey for open-air festival main stages; Europe, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/On Air.mp3
On the Regular,Shamir,Ratchet,123.99971,10D,"Indie Pop; Electropop; minimal squelchy synths, punchy drum machines, androgynous vocals, lo-fi DIY aesthetic; playful bedroom-pop meets dance floor confidence; US, mid-2010s.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/On the Regular.mp3
One of Us - Dennis Ferrer Remix,"Sabb,Forrest,Dennis Ferrer",One of Us,122.0,9M,"Tech House; Jackin' House; hypnotic vocal loops, rolling bassline, crispy percussion, stripped-back groove; peak-time dancefloor energy with soulful Detroit influence; US remix touch, 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/One of Us - Dennis Ferrer Remix.mp3
Ooey,Vitalic,Film Noir,125.999916,2M,"Electro House; French Electro; distorted sawtooth bass, punchy kicks, aggressive filter sweeps; peak-time festival energy with French touch precision; France, late 2000s.",2008,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Ooey.mp3
Operator (Ring Ring) [feat. Dances With White Girls],"Chris Lake,Dances With White Girls",HOWSLA,124.999886,4D,"Tech House; Jackin' House; chunky bassline, percussive stabs, vocal chops with playful telephone theme; peak-time festival energy; UK/US, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Operator (Ring Ring) [feat. Dances With White Girls].mp3
"Out of Body (feat. Kilo Kish, Zebra Katz & Imani Vonshà)","Gorillaz,Kilo Kish,Zebra Katz",Humanz (Deluxe),120.103584,1D,"Alternative Hip-Hop; Experimental Electronic; hypnotic vocal layering, minimal bass throb, atmospheric production, trippy textures; cerebral late-night club introspection; UK/US collaboration, 2020s.",2023,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Out of Body (feat. Kilo Kish, Zebra Katz & Imani Vonshà).mp3"
Papa Loves Mambo,Perry Como,Pure Gold,80.521721,1D,"Traditional Pop; Mambo-influenced Easy Listening; lush orchestral brass, Latin percussion accents, smooth crooning vocals; wholesome American family entertainment meets Cuban dance craze; USA, mid-1950s.",1954,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Papa Loves Mambo.mp3
Papa Was A Rollin' Stone - Single Version,The Temptations,"20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s",123.646606,8M,"Funk; Psychedelic Soul; cinematic wah-wah guitar, hypnotic bassline, orchestral strings, sparse vocals over extended groove; dark storytelling masterpiece from Motown's experimental era; Detroit, 1972.",1972,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Papa Was A Rollin' Stone - Single Version.mp3
Pasilda,"Melé,Shovell",Melé In The House Sampler,125.001541,10M,"UK Garage; Bassline House; rumbling sub-bass, skippy percussion, chopped vocal stabs, warehouse energy; sweaty Northern club vibes meets modern bass weight; UK, 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Pasilda.mp3
Paténipat,Charlotte Adigéry,Paténipat,109.983414,4M,"Electropop; Art Pop; glitchy beats, spoken-word vocals, playful synth stabs, experimental percussion; provocative Belgian club-art hybrid with satirical edge; Belgium/Europe, late 2010s.",2022,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Paténipat.mp3
Pfad des Windes,Wolf Müller,Selectors 002 - Young Marco,94.999863,1D,"Balearic Beat; Cosmic Downtempo; shimmering synth pads, organic percussion, meditative melodic layers; sun-drenched spiritual journey through ambient house soundscapes; Germany, early 2010s.",2013,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Pfad des Windes.mp3
Pluie fine - Polo & Pan Remix,"Corine,Polo & Pan",Fille de ta région remixée,117.999969,6M,"French House; Nu-Disco; shimmering arpeggios, filtered grooves, dreamy vocal chops, sun-drenched production; whimsical Parisian electronic sophistication meets Balearic warmth; France, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Pluie fine - Polo & Pan Remix.mp3
Pon De Floor,"Major Lazer,Vybz Kartel,Afrojack",Guns Don't Kill People...Lazers Do,126.998802,10M,"Dancehall; Moombahton; minimal synth stabs, explosive horn samples, heavy bass drops, infectious Caribbean rhythms; festival-ready crossover banger; Jamaica/Netherlands collaboration, late 2000s.",2009,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Pon De Floor.mp3
Praerie,Doctor Dru,Savannah,122.000214,2M,"Deep House; Melodic House; warm rolling bassline, hypnotic arpeggios, ethereal pads, stripped-back grooves; sun-drenched afterhours introspection; European circuit, contemporary sound.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Praerie.mp3
Protesis - Simple Symmetry Remix,"Fausto,Roliva,Simple Symmetry",Prótesis,119.999672,4D,"Progressive House; Melodic Techno; hypnotic arpeggios, rolling bassline, ethereal pads, crisp percussion; sophisticated afterhours energy for discerning dancefloors; European club circuit, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Protesis - Simple Symmetry Remix.mp3
Pua,"Dengue Dengue Dengue,Penya",Semillero,89.099953,2D,"Cumbia Digital; Tropical Bass; hypnotic percussion, dubbed-out effects, psychedelic synth textures, heavyweight low-end; ritualistic dancefloor explorations from Lima's underground; Peru, 2010s.",2017,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Pua.mp3
Public Enemy No.1,Public Enemy,Yo! Bum Rush The Show,101.900734,6D,"Hip Hop; Golden Age/Political Rap; aggressive sampling, hard-hitting breaks, layered noise collage, militant production; revolutionary Black resistance soundtrack; Long Island NY, late 1980s.",1987,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Public Enemy No.1.mp3
Raingurl,Yaeji,raingurl,127.999245,3M,"House; Deep House; whispered bilingual vocals, minimalist bass, airy synth pads, sparse rhythmic percussion; dreamy late-night Brooklyn underground introspection; NYC, mid-2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Raingurl.mp3
Reckon About,"Tim Baresko,Bards",Reckon About,118.999939,3M,"Tech House; Minimal Tech House; hypnotic percussion, rolling bassline, stripped-back grooves, crisp hi-hats; afterhours warehouse energy with understated European sophistication; Germany/Netherlands, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Reckon About.mp3
Rhythm Is All You Can Dance - Wolf Muller Remix,"Africaine 808,Wolf Müller",Rhythm Is All You Can Dance EP,108.999969,5D,"Afro-Disco; Cosmic Disco; hypnotic percussion layers, analog warmth, dubbed-out grooves, tribal rhythms meet Balearic bliss; sun-drenched open-air dancefloors; Germany/France collaboration, 2010s.",2014,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Rhythm Is All You Can Dance - Wolf Muller Remix.mp3
"Ride Or Die - From ""Queen & Slim: The Soundtrack""","Megan Thee Stallion,VickeeLo","Ride Or Die (From ""Queen & Slim: The Soundtrack"")",100.000175,8D,"Southern Hip-Hop; Trap; hard-hitting 808s, sultry vocal flow, cinematic strings, defiant swagger; rebellious loyalty anthem for late-night rides; Houston, late 2010s.",2019,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Ride Or Die - From ""Queen & Slim: The Soundtrack"".mp3"
Rivolta (Get A Room! Remix),"Polo & Pan,Get a Room!",Rivolta - EP,115.469955,11M,"House; Nu-Disco; shimmering synth arpeggios, groovy bassline, playful vocal chops, sun-soaked production; sophisticated poolside vibes meeting French Touch elegance; France/International, late 2010s.",2019,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Rivolta (Get A Room! Remix).mp3
Rock Steady,Aretha Franklin,"Young, Gifted and Black",104.52858,1M,"Soul; Funk-Soul; infectious horn stabs, tight rhythm section, call-and-response vocals, gospel-tinged power; Detroit's Queen commanding the dancefloor with unstoppable groove energy; USA, 1971.",1971,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Rock Steady.mp3
"Rudy, A Message To You",Dandy Livingstone,Suzanne Beware of the Devil - The Best of Dandy Livingstone,105.380493,12M,"Ska; 2 Tone; upbeat horn stabs, walking bassline, offbeat guitar skanks; joyful Jamaican sound system energy meets British mod culture; Jamaica/UK, late 60s.",1967,"/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Rudy, A Message To You.mp3"
Runnin' Roll,Shiba San,Runnin' Roll,125.99984,6M,"Tech House; Bass House; chunky bassline grooves, crisp percussion, filtered vocal chops, rolling low-end; peak-time festival energy and underground warehouse vibes; France/Chicago influenced, mid-2010s.",2015,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Runnin' Roll.mp3
SICKO MODE,Travis Scott,ASTROWORLD,77.499611,11D,"Hip-Hop; Trap; distorted 808s, multi-part beat switches, dark atmospheric production, auto-tuned vocal layers; menacing Houston-influenced energy meets modern rage; Texas/USA, late 2010s.",2018,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/SICKO MODE.mp3
Sensitive New Age Guy,John Grant,Pale Green Ghosts,125.001083,7D,"Indie Pop; Baroque Pop; lush orchestral strings, pulsing four-on-the-floor beats, witty self-deprecating vocals, cinematic arrangements; sophisticated dancefloor melancholy; US, early 2010s.",2013,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Sensitive New Age Guy.mp3
Sexual Healing,Marvin Gaye,Midnight Love,94.396889,10D,"R&B; Soul-funk; sultry drum machine groove, lush synth pads, sensual bassline, iconic vocoder touches; pioneering bedroom slow-jam classic; USA, early 80s.",1982,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Sexual Healing.mp3
SexyBack (feat. Timbaland),"Justin Timberlake,Timbaland",2000s XL,117.00618,1M,"**Electronic Pop; Electro-Funk; minimalist synth stabs, robotic vocoder lines, stuttering beat programming; provocative dancefloor swagger meets futuristic club aesthetics; US, mid-2000s.**",2006,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/SexyBack (feat. Timbaland).mp3
Shake Your Rump - 2005 Remaster,Beastie Boys,Solid Gold Hits,103.11747,2M,"Hip-Hop; Golden Age Rap; funky bass loops, scratchy samples, rapid-fire vocal delivery, raw breakbeats; rebellious New York block party energy; USA, late 80s.",1989,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Shake Your Rump - 2005 Remaster.mp3
Shmash,"Mihalis Safras,Green Velvet",Shmash,125.000336,10D,"Tech House; Jackin House; driving bassline, punchy kicks, hypnotic vocal loops, stripped-back groove; peak-time dancefloor energy for sweaty warehouse vibes; Chicago-influenced European production, 2010s.",2016,/Volumes/Macintosh HD/Users/jasonfurnell/Dropbox/Music/playlist exports/Shmash.mp3
